county,industry,description,notused1,notused2,employment,laborinc,output
Kalamazoo,464,Employment services,,,5601,219270400,353513100
Kalamazoo,532,"* Employment and payroll of state govt, education",,,5454,430095800,487098000
Kalamazoo,440,Real estate,,,5023,146163500,1266806000
Kalamazoo,502,Limited-service restaurants,,,4793,71651660,342698000
Kalamazoo,501,Full-service restaurants,,,4654,79725040,183799400
Kalamazoo,405,Retail - General merchandise stores,,,3165,81175440,230887600
Kalamazoo,433,Monetary authorities and depository credit intermediation,,,2964,173929800,439198200
Kalkaska,533,"* Employment and payroll of local govt, non-education",,,890,43538440,49048580
Kalkaska,38,Support activities for oil and gas operations,,,418,37936770,70915020
Kalkaska,471,Waste management and remediation services,,,313,22948890,68258190
Kalkaska,440,Real estate,,,233,2324820,19791510
Kalkaska,534,"* Employment and payroll of local govt, education",,,171,9310519,10480000
Kalkaska,395,Wholesale trade,,,167,13862720,40445820
Kalkaska,512,Other personal services,,,154,3934882,5362102
Kalkaska,465,Business support services,,,146,6651165,9315381
Kalkaska,20,Extraction of natural gas and crude petroleum,,,145,16985940,21619980
Kalkaska,524,Local government passenger transit,,,143,5912492,8421573
Kent,464,Employment services,,,33174,905533900,1576139000
Kent,395,Wholesale trade,,,24146,1781519000,5491488000
Kent,482,Hospitals,,,23803,1551850000,3168230000
Kent,534,"* Employment and payroll of local govt, education",,,13608,911131300,1025577000
Kent,501,Full-service restaurants,,,13146,259526500,551444500
Kent,440,Real estate,,,11577,307229000,2134676000
Kent,502,Limited-service restaurants,,,10158,171901400,761448000
Kent,483,Nursing and community care facilities,,,8621,269697500,496215100
Kent,405,Retail - General merchandise stores,,,8589,232933400,641665600
Kent,475,Offices of physicians,,,7828,970234500,1296504000
Lake,533,"* Employment and payroll of local govt, non-education",,,254,11254950,12679350
Lake,492,"Independent artists, writers, and performers",,,222,94805,3601153
Lake,440,Real estate,,,183,714102,14302090
Lake,475,Offices of physicians,,,175,10878690,18731800
Lake,483,Nursing and community care facilities,,,169,4821432,9255762
Lake,395,Wholesale trade,,,115,2970216,16133600
Lake,463,Facilities support services,,,85,1601651,8877299
Lake,407,Retail - Nonstore retailers,,,82,260227,5461044
Lake,501,Full-service restaurants,,,73,1108977,2764592
Lake,10,All other crop farming,,,72,391169,1150654
Lapeer,533,"* Employment and payroll of local govt, non-education",,,1929,98084520,110497900
Lapeer,502,Limited-service restaurants,,,1540,22977550,110642400
Lapeer,440,Real estate,,,1276,9414424,136076400
Lapeer,534,"* Employment and payroll of local govt, education",,,1168,74071600,83375650
Lapeer,195,Other plastics product manufacturing,,,896,37106390,215591100
Lapeer,405,Retail - General merchandise stores,,,853,21445670,61719890
Lapeer,464,Employment services,,,837,21744950,38306330
Lapeer,501,Full-service restaurants,,,673,10101340,25223920
Lapeer,469,Landscape and horticultural services,,,518,11423180,22545990
Lapeer,400,Retail - Food and beverage stores,,,513,12847450,31858230
Leelanau,526,Other local government enterprises,,,1285,63629490,294747500
Leelanau,440,Real estate,,,621,3812916,69578490
Leelanau,501,Full-service restaurants,,,541,12458050,24362500
Leelanau,4,Fruit farming,,,535,19915930,35764310
Leelanau,533,"* Employment and payroll of local govt, non-education",,,458,21993990,24777510
Leelanau,534,"* Employment and payroll of local govt, education",,,335,22495030,25320600
Leelanau,469,Landscape and horticultural services,,,284,4909771,10955550
Leelanau,509,Personal care services,,,229,4034421,6804764
Leelanau,483,Nursing and community care facilities,,,227,8174591,14148360
Leelanau,395,Wholesale trade,,,218,7472636,35149430
Lenawee,534,"* Employment and payroll of local govt, education",,,2171,138247700,155612800
Lenawee,473,"Junior colleges, colleges, universities, and professional schools",,,1315,44753050,110547700
Lenawee,533,"* Employment and payroll of local govt, non-education",,,1311,65892430,74231640
Lenawee,405,Retail - General merchandise stores,,,1239,31691650,90304260
Lenawee,355,Motor vehicle metal stamping,,,1208,93617460,473026300
Lenawee,440,Real estate,,,1179,6951855,128371100
Lenawee,502,Limited-service restaurants,,,1045,15968550,75648040
Lenawee,501,Full-service restaurants,,,1041,16753540,40097420
Lenawee,395,Wholesale trade,,,851,61768460,192102000
Lenawee,503,All other food and drinking places,,,777,16134600,24132470
Livingston,440,Real estate,,,4306,40748590,631478100
Livingston,502,Limited-service restaurants,,,3767,56636500,270740300
Livingston,534,"* Employment and payroll of local govt, education",,,3020,198815200,223788100
Livingston,454,Management consulting services,,,2756,105521200,239758000
Livingston,464,Employment services,,,2463,91096860,148383600
Livingston,395,Wholesale trade,,,2378,192127600,565290000
Livingston,501,Full-service restaurants,,,2310,41593250,93151810
Livingston,405,Retail - General merchandise stores,,,2218,63549890,169770100
Livingston,533,"* Employment and payroll of local govt, non-education",,,1991,105830900,119224600
Livingston,436,Other financial investment activities,,,1623,4562752,174606700
Mackinac,499,"Hotels and motels, including casino hotels",,,643,20017950,71407980
Mackinac,526,Other local government enterprises,,,490,20749870,108097600
Mackinac,501,Full-service restaurants,,,356,8254585,16079450
Mackinac,17,Commercial fishing,,,340,1676386,19421710
Mackinac,440,Real estate,,,270,1858177,27555700
Mackinac,482,Hospitals,,,232,11561360,27085660
