county,year,industry,description,notused1,notused2,employment,laborinc,output
Jackson,2014,217,Iron and steel mills and ferroalloy manufacturing,,,424,50925930,484341300
Jackson,2014,97,"Dry pasta, mixes, and dough manufacturing",,,770,71277280,478545200
Jackson,2014,482,Hospitals,,,3169,248574900,466812200
Jackson,2014,350,Motor vehicle gasoline engine and engine parts manufacturing,,,507,44426480,330536400
Jackson,2014,440,Real estate,,,2084,17900210,282474000
Kalamazoo,2014,174,Pharmaceutical preparation manufacturing,,,2017,247408100,2474595000
Kalamazoo,2014,343,Automobile manufacturing,,,858,138569300,1650041000
Kalamazoo,2014,395,Wholesale trade,,,6625,475893500,1491914000
Kalamazoo,2014,380,Surgical appliance and supplies manufacturing,,,2898,413741700,1290875000
Kalamazoo,2014,440,Real estate,,,5023,146163500,1266806000
Kalamazoo,2014,441,Owner-occupied dwellings,,,0,0,1088347000
Kalamazoo,2014,482,Hospitals,,,6643,510501300,967235100
Kalamazoo,2014,149,Paperboard container manufacturing,,,1486,125293900,676345000
Kalamazoo,2014,532,"* Employment and payroll of state govt, education",,,5454,430095800,487098000
Kalamazoo,2014,433,Monetary authorities and depository credit intermediation,,,2964,173929800,439198200
Kalkaska,2014,38,Support activities for oil and gas operations,,,418,37936770,70915020
Kalkaska,2014,471,Waste management and remediation services,,,313,22948890,68258190
Kalkaska,2014,441,Owner-occupied dwellings,,,0,0,60604980
Kalkaska,2014,533,"* Employment and payroll of local govt, non-education",,,890,43538440,49048580
Kalkaska,2014,395,Wholesale trade,,,167,13862720,40445820
Kalkaska,2014,445,Commercial and industrial machinery and equipment rental and leasing,,,84,7330802,22320260
Kalkaska,2014,37,Drilling oil and gas wells,,,81,8386977,21782370
Kalkaska,2014,20,Extraction of natural gas and crude petroleum,,,145,16985940,21619980
Kalkaska,2014,428,Wireless telecommunications carriers (except satellite),,,11,800902,21098640
Kalkaska,2014,250,"Turned product and screw, nut, and bolt manufacturing",,,97,5105742,20210700
Kent,2014,395,Wholesale trade,,,24146,1781519000,5491488000
Kent,2014,482,Hospitals,,,23803,1551850000,3168230000
Kent,2014,441,Owner-occupied dwellings,,,0,0,2559863000
Kent,2014,437,Insurance carriers,,,5704,425320400,2393539000
Kent,2014,355,Motor vehicle metal stamping,,,6087,432275900,2317070000
Kent,2014,440,Real estate,,,11577,307229000,2134676000
Kent,2014,179,Soap and other detergent manufacturing,,,2049,281966300,2109505000
Kent,2014,375,"Office furniture, except wood, manufacturing",,,3435,357530600,1635608000
Kent,2014,464,Employment services,,,33174,905533900,1576139000
Kent,2014,475,Offices of physicians,,,7828,970234500,1296504000
Lake,2014,441,Owner-occupied dwellings,,,0,0,38479630
Lake,2014,475,Offices of physicians,,,175,10878690,18731800
Lake,2014,395,Wholesale trade,,,115,2970216,16133600
Lake,2014,61,Construction of other new residential structures,,,56,1234222,15046120
Lake,2014,440,Real estate,,,183,714102,14302090
Lake,2014,533,"* Employment and payroll of local govt, non-education",,,254,11254950,12679350
